UserID,ItemID,Artist,Count
0,494,tindersticks,450
0,1647,tegan and sara,322
0,1582,emilie autumn,298
0,9,emilie simon,261
0,1798,belle and sebastian,251
0,1967,regina spektor,225
0,718,菅野よう子,202
0,1690,soundtrack,195
0,128,yann tiersen,195
0,53,dave matthews band,189
0,15,sufjan stevens,188
0,1099,craig armstrong,183
0,1237,ennio morricone,173
0,676,stars,173
0,1062,keren ann,166
0,608,max richter,155
0,1585,the cranberries,141
0,55,andrew bird,136
0,1925,sigur rós,126
0,42,morcheeba,115
0,69,beirut,114
0,346,moloko,110
0,479,jens lekman,99
0,1806,hans zimmer,97
0,38,cat power,90
0,1501,tori amos,90
0,481,explosions in the sky,86
0,1310,fiona apple,86
0,115,pink martini,83
0,1389,emiliana torrini,81
0,1163,norah jones,76
0,701,calexico,71
0,1631,kings of convenience,69
0,1938,carla bruni,65
0,456,the cardigans,65
0,624,john williams,64
0,299,nina simone,64
0,1811,pj harvey,64
0,1605,coldplay,63
0,900,nouvelle vague,62
0,655,vangelis,60
0,1595,joanna newsom,59
0,144,air,58
0,1270,camille,58
0,28,elliott smith,58
0,545,enya,58
0,1765,cocorosie,57
0,722,natalie imbruglia,57
0,1176,nick drake,56
0,1286,radiohead,56
0,1774,astor piazzolla,55
0,240,damien rice,55
0,1886,feist,55
0,1526,michael nyman,54
0,1022,björk,51
1,44,jimi hendrix,217
1,1377,the beatles,158
1,1349,arctic monkeys,153
1,1064,red hot chili peppers,138
1,645,miles davis,123
1,990,pink floyd,122
1,758,metallica,114
1,117,the white stripes,111
1,1783,stevie ray vaughan and double trouble,97
1,1672,johnny cash,95
1,235,the mars volta,92
1,495,buddy guy,88
1,26,queen,87
1,1590,howlin' wolf,86
1,857,bob dylan,85
1,1736,b.b. king,77
1,1144,kt tunstall,70
1,693,simon & garfunkel,70
1,1210,the doors,70
1,1936,muddy waters,69
1,1286,radiohead,69
1,184,frank sinatra,68
1,198,chet baker,66
1,450,aerosmith,64
1,381,the jimi hendrix experience,60
1,874,neil young,57
1,1009,nirvana,53
1,1651,hey,52
1,1196,muse,51
1,741,protest the hero,51
1,779,foo fighters,48
1,538,the hives,47
1,705,kult,45
1,1898,pendulum,43
1,1508,robert johnson,41
1,1140,the velvet underground,38
1,143,jeff beck,37
1,484,morphine,37
1,728,dire straits,36
1,852,the allman brothers band,34
1,1848,bob marley,33
1,1741,eagles of death metal,32
1,1835,infected mushroom,31
1,301,joe satriani,31
1,33,cream,29
1,36,paul simon,27
1,325,the kills,27
1,551,the prodigy,27
1,1387,interpol,26
1,661,chuck berry,25
1,773,led zeppelin,23
1,730,eric clapton,22
1,1854,louis armstrong,22
1,213,david gilmour,19
1,981,jason mraz,19
1,711,madness,19
1,8,devendra banhart,14
2,1903,kitaro,24
2,1626,cesária Évora,12
2,175,mylène farmer,12
2,1655,françoise hardy,11
2,63,frédéric chopin,11
2,503,gipsy kings,10
2,601,Édith piaf,9
3,960,blind guardian,4575
3,1048,iced earth,3040
3,1351,nile,2290
3,656,strapping young lad,2115
3,1728,vader,1739
3,1135,devin townsend,1539
3,1200,dark tranquillity,1306
3,789,behemoth,1222
3,1192,anaal nathrakh,1205
3,359,in flames,1163
3,681,amon amarth,1070
3,553,the haunted,1021
3,1654,bathory,1017
3,1479,slayer,1010
3,1745,demons & wizards,981
3,267,kamelot,923
3,731,entombed,900
3,610,korpiklaani,882
3,1463,bloodbath,857
3,329,rotting christ,826
3,1383,hypocrisy,787
3,1678,carcass,777
3,396,at the gates,763
3,1591,iron maiden,730
3,1708,soilwork,728
3,301,joe satriani,706
3,1730,death,694
3,1330,hammerfall,642
3,1433,immortal,640
3,1113,kataklysm,639
3,356,norther,639
3,160,dimmu borgir,617
3,5,nightwish,601
3,1497,decapitated,586
3,1917,children of bodom,583
3,1306,modest mouse,176
3,1578,ryan adams,136
3,1286,radiohead,91
3,910,bright eyes,90
3,693,simon & garfunkel,65
3,629,a silver mt. zion,64
3,1950,converge,62
3,76,horse the band,57
3,1267,neutral milk hotel,48
3,1557,mayhem,42
3,224,midnight juggernauts,38
3,806,judas priest,36
3,684,pig destroyer,36
3,2,death cab for cutie,35
3,874,neil young,31
3,869,mstrkrft,29
3,37,daft punk,25
3,1156,the decemberists,25
3,927,digitalism,24
3,451,agalloch,23
3,73,deicide,23
3,660,tiga,22
3,28,elliott smith,20
3,1921,the presets,19
3,1068,hadouken!,18
3,1693,mogwai,18
4,1377,the beatles,79
4,1009,nirvana,46
4,322,astral projection,43
4,911,madonna,43
4,1999,shpongle,25
4,155,kanye west,22
4,262,the offspring,22
4,773,led zeppelin,19
4,349,bone thugs-n-harmony,17
4,1274,biosphere,15
4,1894,michael jackson,14
4,1898,pendulum,14
4,897,staind,14
4,411,2pac,13
4,1312,collective soul,13
4,1620,josé gonzález,13
4,37,daft punk,12
4,212,hole,12
4,61,paul van dyk,12
4,1146,the killers,12
4,1318,the crystal method,11
4,1840,tv on the radio,11
4,1835,infected mushroom,10
4,181,the chemical brothers,10
4,627,david bowie,9
4,874,neil young,9
4,795,the cure,9
4,1451,underworld,9
4,759,blank & jones,8
4,990,pink floyd,8
4,1065,stone temple pilots,8
4,763,ac/dc,7
4,1169,booka shade,6
4,1014,jean michel jarre,6
4,952,plaid,6
4,1925,sigur rós,6
4,787,boards of canada,5
4,1892,aphex twin,4
4,1007,depeche mode,4
4,587,duffy,4
4,1743,hall & oates,4
4,362,alphaville,3
4,574,blondie,3
4,1994,brian eno,3
4,748,ellen allien & apparat,3
4,1010,eluvium,3
4,370,imogen heap,3
4,754,lady gaga,3
4,1040,moby,3
4,1906,simple minds,3
4,577,squarepusher,3
4,937,tears for fears,3
4,1241,the future sound of london,3
4,1594,air,2
4,1402,eurythmics,2
4,822,m83,2
5,914,sting,45
5,558,j.j. cale,44
5,802,amy macdonald,37
5,1788,mark knopfler,33
5,1945,the alan parsons project,31
5,515,herbert grönemeyer,29
5,728,dire straits,27
5,693,simon & garfunkel,26
5,915,deep purple,24
5,1014,jean-michel jarre,24
5,894,the moody blues,24
5,1207,the police,24
5,1235,mike oldfield,23
5,655,vangelis,23
5,1845,jethro tull,22
5,1488,shakira,22
5,1083,genesis,21
5,1909,eagles,20
5,1487,bee gees,18
5,75,electric light orchestra,18
5,1848,bob marley,17
5,1661,supertramp,17
5,730,eric clapton,16
5,95,roger waters,16
5,106,creedence clearwater revival,15
5,387,love,15
5,674,cat stevens,14
5,983,styx,14
5,1843,the beach boys,14
5,292,the byrds,14
5,164,the kinks,14
5,1988,the mamas & the papas,14
5,1217,the who,14
5,313,buena vista social club,13
5,1115,jacques brel,13
5,447,lionel richie,13
5,180,marillion,13
5,1522,nancy sinatra,13
5,172,status quo,13
5,1878,uriah heep,13
5,377,roxy music,9
5,1043,various artists,8
5,1474,fleetwood mac,7
5,427,jefferson airplane,7
5,1705,abba,6
5,990,pink floyd,6
6,1066,bloc party,188
6,1928,t.i.,188
6,83,the futureheads,147
6,1349,arctic monkeys,145
6,1696,santogold,139
6,1761,los campesinos!,103
6,1004,spoon,102
6,501,justice,100
6,907,good shoes,98
6,857,bob dylan,97
6,393,tokyo police club,95
6,1533,tom waits,93
6,1994,brian eno,91
6,747,dirty pretty things,91
6,164,the kinks,88
6,163,nick cave and the bad seeds,64
6,1483,the raconteurs,62
6,1146,the killers,61
6,924,bonnie 'prince' billy,60
6,1862,friendly fires,59
6,60,minor threat,59
6,1359,vampire weekend,58
6,1282,feist,56
6,1260,gnarls barkley,55
6,1900,iggy pop,53
6,947,queens of the stone age,52
6,34,angels & airwaves,51
6,425,oasis,50
6,1841,the academy is...,50
6,1876,the red jumpsuit apparatus,50
6,1367,john lee hooker,49
6,1924,the black ghosts,49
6,627,david bowie,48
6,38,cat power,47
6,1377,the beatles,43
6,1199,lou reed,41
6,1549,les savy fav,35
6,1840,tv on the radio,35
6,1658,devo,34
6,1286,radiohead,32
6,1005,battles,31
6,752,spiritualized,30
6,1370,the rolling stones,30
6,1778,augustus pablo,28
6,258,fugazi,28
6,1608,lykke li,28
6,1819,bad brains,26
6,1901,charles mingus,25
6,13,elvis presley,25
6,1255,van morrison,25
6,576,alice cooper,24
6,1084,peter gabriel,24
6,1890,stereolab,23
6,1083,genesis,22
6,442,ghostface,21
6,43,bauhaus,20
6,781,blonde redhead,20
6,753,django reinhardt,20
6,1171,scott walker,20
6,1977,flying lotus,17
6,972,bill evans,15
6,755,leonard cohen,15
6,319,múm,15
7,1274,biosphere,74
7,477,autechre,53
7,1286,radiohead,53
7,1451,underworld,40
7,1480,erlend Øye,39
7,1264,mr. oizo,25
7,1460,ricardo villalobos,25
8,1703,enigma,595
8,930,ayreon,380
8,1433,immortal,257
8,1989,battlelore,241
8,799,samael,235
8,806,judas priest,225
8,197,theatre of tragedy,200
8,1038,tiamat,191
8,1113,kataklysm,173
8,1810,equilibrium,149
8,463,die apokalyptischen reiter,134
8,136,pain,129
8,1560,therion,104
8,1479,slayer,102
8,716,sirenia,99
8,1383,hypocrisy,95
8,329,rotting christ,94
8,245,epica,92
8,1392,catamenia,91
8,291,deine lakaien,80
8,1868,amorphis,67
8,622,crematory,64
8,1344,graveworm,59
8,951,tristania,59
8,413,moonspell,56
8,160,dimmu borgir,55
8,1999,shpongle,54
8,1831,r.e.m.,51
8,1167,moonsorrow,50
8,1390,rammstein,48
8,3,the gathering,47
8,1613,dead can dance,46
8,111,paradise lost,45
8,4,king diamond,43
8,1363,darkthrone,42
8,1014,jean michel jarre,42
8,1080,asp,41
8,1503,opeth,31
8,1424,marduk,29
8,949,cradle of filth,26
9,234,fabrizio de andré,171
9,1854,louis armstrong,159
9,476,the smiths,131
9,900,nouvelle vague,125
9,827,lily allen,124
9,1635,gilberto gil,109
9,857,bob dylan,102
9,1280,devotchka,100
9,1798,belle and sebastian,93
9,1389,emilíana torrini,86
9,761,the national,85
9,1314,balkan beat box,83
9,1545,mazzy star,78
9,441,the magic numbers,76
9,1022,björk,74
9,15,sufjan stevens,70
9,1386,serge gainsbourg,69
9,627,david bowie,63
9,1208,wilco,63
9,459,anna ternheim,60
9,1631,kings of convenience,60
9,822,m83,59
9,713,m.i.a.,53
9,58,badly drawn boy,52
9,1146,the killers,52
9,693,simon & garfunkel,51
9,144,air,50
9,38,cat power,50
9,207,beck,49
9,1756,a.r. rahman,48
9,1697,ane brun,46
9,1813,au revoir simone,40
9,701,calexico,39
9,732,new young pony club,37
9,1925,sigur rós,37
9,482,scissor sisters,33
9,101,bat for lashes,32
9,1843,the beach boys,32
9,931,i am kloot,28
9,997,of montreal,28
9,1348,the sounds,26
9,1935,the whitest boy alive,26
9,1886,feist,25
9,928,goldfrapp,24
9,1544,mgmt,23
9,372,peter bjorn and john,23
9,282,the new pornographers,23
9,583,islands,22
9,1932,marisa monte,22
9,1832,my morning jacket,18
9,1859,camera obscura,15
9,163,nick cave & the bad seeds,15
9,640,2raumwohnung,13
9,55,andrew bird,12
9,1440,architecture in helsinki,12
9,1837,rilo kiley,11
9,412,slagsmålsklubben,11
9,1059,brazilian girls,10
9,1942,koop,10
9,344,sia,10
10,1791,have heart,1572
10,51,band of horses,963
10,820,comeback kid,668
10,1663,cult of luna,507
10,1870,descendents,491
10,1950,converge,375
10,30,set your goals,370
10,497,bon iver,339
10,1405,municipal waste,324
10,1127,brand new,109
10,617,poison the well,101
10,69,beirut,27
11,1409,ray lamontagne,298
11,13,elvis presley,58
11,137,eels,49
11,275,paolo nutini,47
11,857,bob dylan,45
11,1959,fleet foxes,36
11,846,kings of leon,29
11,1437,nightmares on wax,29
11,1260,gnarls barkley,28
11,422,saint etienne,26
11,1163,norah jones,25
11,12,morrissey,24
11,328,ray charles,23
11,1249,james morrison,22
11,1410,the stone roses,21
11,1266,thievery corporation,21
11,381,the jimi hendrix experience,20
11,489,george harrison,19
11,1176,nick drake,19
11,1140,the velvet underground,19
11,1594,air,18
11,1970,starsailor,16
11,625,boney m.,15
11,1075,pink,15
11,354,beck,14
11,1672,johnny cash,14
11,225,ludwig van beethoven,14
11,1526,michael nyman,14
11,159,burning spear,13
11,911,madonna,13
11,1464,nitin sawhney,13
11,1091,black uhuru,11
11,749,billy joel,9
11,551,the prodigy,9
11,1589,everlast,8
11,1786,late of the pier,7
11,1021,the skatalites,7
11,1681,billie holiday,5
11,703,dean martin,5
11,1808,jeff buckley,5
11,1920,killing joke,5
11,807,kruder & dorfmeister,5
11,336,ladyhawke,5
11,490,the orb,5
11,1705,abba,4
11,1832,my morning jacket,3
11,1111,noah and the whale,3
11,908,rufus wainwright,3
12,1533,tom waits,2375
12,678,danny elfman,1286
12,908,rufus wainwright,953
12,45,prince,937
12,1910,gogol bordello,751
12,163,nick cave and the bad seeds,700
12,367,tosca,687
12,1171,scott walker,626
